"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.578446505,    -0.04765695455,       -4.17805859,       2.907146653,      -6.403816525,          1021.356,     0.01140697022,     -0.1381591635,                 0,                 0,                 0,     0.05799810295,     0.01140697022,     -0.1381591635,                 0,      -12.11181943,   0.0001500018564
          0,           0,           1,      -2.471374095,     -0.5057112812,    -0.09036143431,       3.000491665,      -6.555040375,          1021.356,     0.01162365912,    -0.07620156728,                 0,                 0,                 0,     0.02040716205,     0.01162365912,    -0.07620156728,                 0,      -6.555729699,   0.0001500018564
          0,           0,           2,      -3.166247359,     -0.6287800061,      -1.046790884,       2.314361043,      -6.589732024,          1021.356,     0.01152573974,     -0.1051279308,                 0,                 0,                 0,     0.02083076839,     0.01152573974,     -0.1051279308,                 0,      -9.121143905,   0.0001500018564
          0,           0,           3,      -3.272127913,      -0.721392802,      -1.340715787,       2.208201077,      -6.633125549,          1021.356,     0.01137801498,     -0.1418764444,                 0,                 0,                 0,     0.02544124966,     0.01137801498,     -0.1418764444,                 0,      -12.46934941,   0.0001500018564
          0,           0,           4,      -3.339002778,     -0.7772342865,      -1.346844408,       2.141201852,        -6.6778421,          1021.356,     0.01123335642,     -0.1687403612,                 0,                 0,                 0,     0.02834810674,     0.01123335642,     -0.1687403612,                 0,      -15.02136626,   0.0001500018564
          0,           0,           5,       -3.42863302,     -0.7861083326,       -1.27722734,       2.053930663,       -6.72137882,          1021.356,     0.01110140811,     -0.1834102671,                 0,                 0,                 0,     0.02912220065,     0.01110140811,     -0.1834102671,                 0,      -16.52135164,   0.0001500018564
          0,           0,           6,      -3.545084132,     -0.7802486263,      -1.260031135,       1.942538616,      -6.763761606,          1021.356,     0.01097919413,     -0.1878794174,                 0,                 0,                 0,     0.02842639014,     0.01097919413,     -0.1878794174,                 0,      -17.11231399,   0.0001500018564
          0,           0,           7,      -3.678987707,     -0.7848309149,      -1.268907035,       1.815666397,      -6.806284062,          1021.356,     0.01085848131,      -0.184888823,                 0,                 0,                 0,     0.02694123117,     0.01085848131,      -0.184888823,                 0,      -17.02713462,   0.0001500018564
          0,           0,           8,      -3.768827441,     -0.8029661192,      -1.288191868,       1.726886961,      -6.893081121,          1021.356,      0.0107308941,     -0.1765749234,                 0,                 0,                 0,     0.02508107745,      0.0107308941,     -0.1765749234,                 0,      -16.45481931,   0.0001500018564
          0,           0,           9,      -3.744029404,      -0.828556812,      -1.315490116,       1.740833182,      -6.893629516,          1021.356,     0.01059270216,     -0.1644788038,                 0,                 0,                 0,     0.02305432947,     0.01059270216,     -0.1644788038,                 0,      -15.52755862,   0.0001500018564
          0,           0,          10,      -3.662050432,     -0.8512332782,       -1.35784569,       1.814815001,      -6.892232045,          1021.356,     0.01044525496,     -0.1499472927,                 0,                 0,                 0,     0.02095732336,     0.01044525496,     -0.1499472927,                 0,      -14.35554166,   0.0001500018564
          0,           0,          11,      -3.588261885,     -0.8612242927,       -1.42383782,       1.886370156,      -6.896499181,          1021.356,     0.01029294016,     -0.1341478717,                 0,                 0,                 0,     0.01881078322,     0.01029294016,     -0.1341478717,                 0,      -13.03299831,   0.0001500018564
          0,           0,          12,      -3.536556509,     -0.8562841829,      -1.515981635,       1.938433301,      -6.902970892,          1021.356,     0.01014176495,     -0.1180863131,                 0,                 0,                 0,     0.01660513325,     0.01014176495,     -0.1180863131,                 0,      -11.64356636,   0.0001500018564
          0,           0,          13,      -3.504566431,     -0.8415399337,      -1.625422313,       1.971791406,      -6.910353001,          1021.356,    0.009997386611,     -0.1025974966,                 0,                 0,                 0,     0.01433305756,    0.009997386611,     -0.1025974966,                 0,      -10.26243163,   0.0001500018564
          0,           0,          14,      -3.487889868,     -0.8238865003,      -1.726947114,       1.990242525,      -6.918108204,          1021.356,     0.00986365334,     -0.0883476196,                 0,                 0,                 0,     0.01201229902,     0.00986365334,     -0.0883476196,                 0,       -8.95688611,   0.0001500018564
          0,           0,          15,       -3.48318361,     -0.8081047016,      -1.792752028,       1.996862986,      -6.925890742,          1021.356,    0.009742223793,    -0.07586195977,                 0,                 0,                 0,    0.009696789781,    0.009742223793,    -0.07586195977,                 0,      -7.786924359,   0.0001500018564
          0,           0,          16,      -3.488736662,      -0.796357866,      -1.826335787,         1.9932417,      -6.933618768,          1021.356,    0.009632952645,    -0.06554131403,                 0,                 0,                 0,    0.007473463497,    0.009632952645,    -0.06554131403,                 0,      -6.803865486,   0.0001500018564
          0,           0,          17,      -3.504335373,     -0.7890923325,      -1.849056389,       1.979576225,      -6.941115313,          1021.356,    0.009534578712,    -0.05765341964,                 0,                 0,                 0,    0.005447906815,    0.009534578712,    -0.05765341964,                 0,      -6.046771586,   0.0001500018564
          0,           0,          18,      -3.530807424,      -0.785966204,      -1.864382054,       1.955108428,      -6.948368771,          1021.356,    0.009445361751,    -0.05230831045,                 0,                 0,                 0,    0.003724147216,    0.009445361751,    -0.05230831045,                 0,      -5.537989103,   0.0001500018564
          0,           0,          19,      -3.569467397,     -0.7864400649,      -1.860343703,       1.918643558,      -6.955307738,          1021.356,     0.00936351748,    -0.04943510703,                 0,                 0,                 0,     0.00238388696,     0.00936351748,    -0.04943510703,                 0,       -5.27954448,   0.0001500018564
          0,           0,          20,      -3.621619775,     -0.7900504755,      -1.834419868,       1.868994359,      -6.961847535,          1021.356,    0.009287438674,     -0.0487764383,                 0,                 0,                 0,    0.001470025779,    0.009287438674,     -0.0487764383,                 0,      -5.251871911,   0.0001500018564
          0,           0,          21,      -3.688073923,     -0.7964640041,      -1.801237956,       1.805369097,      -6.967997642,          1021.356,      0.0092157595,    -0.04990972081,                 0,                 0,                 0,   0.0009781930825,      0.0092157595,    -0.04990972081,                 0,      -5.415692631,   0.0001500018564
          0,           0,          22,       -3.76832438,     -0.8054098728,      -1.776303795,       1.727948133,      -6.973778683,          1021.356,    0.009147334846,    -0.05229480732,                 0,                 0,                 0,   0.0008578745265,    0.009147334846,    -0.05229480732,                 0,      -5.716944684,   0.0001500018564
